Num Instances,Old,New,Speedup,Execution time difference %
1,16.05946994,16.42483745,0.9777551827,2.275090705
2,26.0109654,16.91130624,1.538081389,-34.98393473
3,36.19211354,17.4365654,2.075644642,-51.82219635
4,46.10951262,17.921664,2.572836575,-61.13239333
5,56.33857718,18.6725986,3.017179257,-66.85646046
6,66.58479085,19.1462842,3.477687376,-71.24525893
7,76.0247633,19.51000147,3.896707205,-74.33730718
8,86.2981328,20.05026083,4.304090283,-76.76628662
9,96.11848555,20.4300807,4.704753102,-78.7448995
10,106.1224026,20.94856014,5.065856644,-80.260002